"01","DTP"
"02","OPV"
"03","MMR"
"04","Measles/Rubella"
"05","Measles"
"06","Rubella"
"07","Mumps"
"08","Hep B Peds < 20 years"
"09","Td adult (absorbed)"
"10","IPV"
"15","Influenza, Split"
"16","Influenza, Whole"
"17","Hib NOS"
"20","DTaP"
"21","Varicella"
"22","DTP-Hib  (Tetramune; OmniHib-DTP)"
"28","DT (pediatric)"
"31","HepA Pediatric NOS"
"32","Meningococcal MPSV4 (Menomune)"
"33","Pneumococcal Polysaccharide 23 valent"
"38","Mumps/Rubella"
"42","Hep B High Risk Infant"
"43","Hep B Adult >= 20 years"
"44","Hep B Dialysis"
"45","Hep B NOS"
"46","Hib-PRP-D (ProHIBIT)"
"47","Hib-HbOC (HibTITER)"
"48","Hib-PRP-T (ActHIB, Hiberix)"
"49","Hib-PRP-OMP (PedvaxHIB)"
"50","DTaP-Hib (TriHiBit)"
"51","Hep B-Hib (PRP-OMP (ComVAX))"
"52","Hep A Adult"
"62","HPV Quadrivalent (Gardasil)"
"74","Rotavirus"
"75","vaccinia (smallpox) vaccine (ACAM2000)"
"83","HepA ped/adol 2 dose"
"84","HepA pediatric/adolescent (3 dose)"
"85","HepA NOS"
"88","Influenza, unspecified formulation"
"89","Polio, unspecified formulation"
"94","MMR-Varicella"
"100","Pneumococcal Conjugate 7 valent (PCV 7)"
"102","DTP-Hib-HepB"
"104","HepA-HepB (Twinrix)"
"105","vaccinia (smallpox) vaccine, diluted (Inactive; not preferred)"
"106","DTaP, 5 pertussis antigens"
"107","DTaP, unspecified formulation"
"108","Meningococcal, unspecified formulation"
"109","Pneumococcal NOS"
"110","DTaP/HepB/IPV"
"111","influenza, live, intranasal"
"113","Td (adult) preservative free"
"114","Meningococcal MCV4P (Menactra)"
"115","Tdap"
"116","Rotavirus RV5 (RotaTeq, 3-dose)"
"118","HPV Bivalent (Cervarix)"
"119","Rotavirus RV1 (Rotarix, 2-dose)"
"120","DTaP-Hib (PRP-T)-IPV"
